Lote;Material;Lote interno;Lote Proveedor;Qty;Fecha recepción;Fecha traslado
23019;100001;0000737133;AM1798471;72;12/01/2023;22/03/2023
23019;100002;0000676155;K53821835;72;07/03/2022;15/03/2023
23019;100003;0000636590;0005065337;4800;27/08/2021;13/03/2023
23019;100004;0000655968;2414150;320;25/11/2021;10/03/2023
23019;100005;0000723171;M3889;96;04/11/2022;03/03/2023
23019;100006;0000676218;C4837;177,6;07/03/2022;17/01/2023
23019;100007;0000742567;2202239;8352;09/02/2023;15/03/2023
23019;100008;0000710843;A1673579;144;05/09/2022;02/03/2023
23019;100001;0000737133;AM1798471;57,6;12/01/2023;02/03/2023
23019;100009;0000669097;0002124409;7680;01/02/2022;17/03/2023
23019;100002;0000676155;K53821835;385,984;07/03/2022;15/03/2023
23019;100010;0000694159;0002066677;96;02/06/2022;22/11/2022
23019;100011;0000735476;0002219885;3200;03/01/2023;15/03/2023
23019;100012;0000746139;3009264;7872;27/02/2023;01/03/2023
23019;100004;0000655968;2414150;80;25/11/2021;10/03/2023
23019;100005;0000723171;M3889;12,08;04/11/2022;03/03/2023
23019;100006;0000676218;C4837;22,464;07/03/2022;17/01/2023
23019;100007;0000742567;2202239;2088;09/02/2023;15/03/2023
23019;100008;0000710843;A1673579;18,08;05/09/2022;02/03/2023
23019;100001;0000737133;AM1798471;7,248;12/01/2023;02/03/2023
23019;100009;0000669097;0002124409;959,984;01/02/2022;10/03/2023
23019;100002;0000676155;K53821835;48,32;07/03/2022;15/03/2023
23019;100010;0000694159;0002066677;12,08;02/06/2022;22/11/2022
23019;100011;0000735476;0002219885;399,992;03/01/2023;15/03/2023
23019;100012;0000746139;3009264;1969,6;27/02/2023;01/03/2023
23020;100001;0000737133;AM1798471;72,032;12/01/2023;22/03/2023
23020;100002;0000676155;K53821835;71,968;07/03/2022;15/03/2023
23020;100003;0000636590;0005065337;4800;27/08/2021;13/03/2023
23020;100004;0000655969;2414151;249,2;25/11/2021;17/03/2023
23020;100004;0000655968;2414150;70,8;25/11/2021;10/03/2023
23020;100005;0000723171;M3889;96;04/11/2022;03/03/2023
23020;100006;0000676218;C4837;177,6;07/03/2022;17/01/2023
23020;100007;0000742567;2202239;8352;09/02/2023;15/03/2023
23020;100008;0000710843;A1673579;144;05/09/2022;02/03/2023
23020;100001;0000737133;AM1798471;57,76;12/01/2023;02/03/2023
23020;100009;0000669097;0002124409;7680;01/02/2022;17/03/2023
23020;100002;0000676155;K53821835;384;07/03/2022;15/03/2023
23020;100010;0000694159;0002066677;96;02/06/2022;22/11/2022
23020;100011;0000735476;0002219885;3200,8;03/01/2023;15/03/2023
23020;100012;0000746139;3009264;7872;27/02/2023;01/03/2023
23020;100004;0000655968;2414150;80;25/11/2021;10/03/2023
23020;100005;0000723171;M3889;12,08;04/11/2022;03/03/2023
23020;100006;0000676218;C4837;22,464;07/03/2022;17/01/2023
23020;100007;0000742567;2202239;2088;09/02/2023;15/03/2023
23020;100008;0000710843;A1673579;18,08;05/09/2022;02/03/2023
23020;100001;0000737133;AM1798471;7,248;12/01/2023;02/03/2023
23020;100009;0000669097;0002124409;959,984;01/02/2022;10/03/2023
23020;100002;0000676155;K53821835;48,32;07/03/2022;15/03/2023
23020;100010;0000694159;0002066677;12,08;02/06/2022;22/11/2022
23020;100011;0000735476;0002219885;399,992;03/01/2023;15/03/2023
23020;100012;0000746139;3009264;1969,6;27/02/2023;01/03/2023
23021;100001;0000737133;AM1798471;72;12/01/2023;22/03/2023
23021;100002;0000676155;K53821835;72;07/03/2022;15/03/2023
23021;100003;0000636590;0005065337;4800;27/08/2021;13/03/2023
23021;100004;0000655969;2414151;316,8;25/11/2021;17/03/2023
23021;100005;0000723171;M3889;96;04/11/2022;03/03/2023
23021;100006;0000676218;C4837;177,6;07/03/2022;17/01/2023
23021;100007;0000742567;2202239;8352;09/02/2023;15/03/2023
23021;100008;0000710843;A1673579;144;05/09/2022;02/03/2023
23021;100001;0000737133;AM1798471;57,6;12/01/2023;02/03/2023
23021;100009;0000669097;0002124409;7688;01/02/2022;17/03/2023
23021;100002;0000676155;K53821835;384;07/03/2022;15/03/2023
23021;100010;0000694159;0002066677;96;02/06/2022;22/11/2022
23021;100011;0000735476;0002219885;3200;03/01/2023;15/03/2023
23021;100012;0000746139;3009264;7872;27/02/2023;01/03/2023
23021;100004;0000655968;2414150;80;25/11/2021;10/03/2023
23021;100005;0000723171;M3889;12,08;04/11/2022;03/03/2023
23021;100006;0000676218;C4837;22,464;07/03/2022;17/01/2023
23021;100007;0000742567;2202239;2088;09/02/2023;15/03/2023
23021;100008;0000710843;A1673579;18,08;05/09/2022;02/03/2023
23021;100001;0000737133;AM1798471;7,248;12/01/2023;02/03/2023
23021;100009;0000669097;0002124409;959,984;01/02/2022;10/03/2023
23021;100002;0000676155;K53821835;48,32;07/03/2022;15/03/2023
23021;100010;0000694159;0002066677;12,08;02/06/2022;22/11/2022
23021;100011;0000735476;0002219885;399,992;03/01/2023;15/03/2023
23021;100012;0000746139;3009264;1969,6;27/02/2023;01/03/2023
23022;100001;0000737133;AM1798471;72,704;12/01/2023;22/03/2023
23022;100002;0000676155;K53821835;72,024;07/03/2022;15/03/2023
23022;100003;0000636590;0005065337;4800;27/08/2021;13/03/2023
23022;100004;0000655969;2414151;316,8;25/11/2021;17/03/2023
23022;100005;0000723171;M3889;96;04/11/2022;03/03/2023
23022;100006;0000676218;C4837;177,6;07/03/2022;17/01/2023
23022;100007;0000742567;2202239;8352;09/02/2023;15/03/2023
23022;100008;0000710843;A1673579;144;05/09/2022;02/03/2023
23022;100001;0000737133;AM1798471;57,6;12/01/2023;02/03/2023
23022;100009;0000669097;0002124409;7680;01/02/2022;17/03/2023
23022;100002;0000676155;K53821835;384;07/03/2022;15/03/2023
23022;100010;0000694159;0002066677;96;02/06/2022;22/11/2022
23022;100011;0000735476;0002219885;3200;03/01/2023;15/03/2023
23022;100012;0000746139;3009264;7872;27/02/2023;01/03/2023
23022;100004;0000655968;2414150;80;25/11/2021;10/03/2023
23022;100005;0000723171;M3889;12,08;04/11/2022;03/03/2023
23022;100006;0000676218;C4837;22,464;07/03/2022;17/01/2023
23022;100007;0000742567;2202239;2088;09/02/2023;15/03/2023
23022;100008;0000710843;A1673579;18,08;05/09/2022;02/03/2023
23022;100001;0000737133;AM1798471;7,248;12/01/2023;02/03/2023
23022;100009;0000669097;0002124409;959,984;01/02/2022;10/03/2023
23022;100002;0000676155;K53821835;48,32;07/03/2022;15/03/2023
23022;100010;0000694159;0002066677;12,08;02/06/2022;22/11/2022
23022;100011;0000735476;0002219885;399,992;03/01/2023;15/03/2023
23022;100012;0000746139;3009264;1969,6;27/02/2023;01/03/2023
23024;100001;0000737133;AM1798471;71,92;12/01/2023;22/03/2023
23024;100002;0000676155;K53821835;72,24;07/03/2022;15/03/2023
23024;100003;0000644272;0005070897;4800;04/10/2021;24/03/2023
23024;100004;0000655974;2414142;247,6;25/11/2021;23/03/2023
23024;100004;0000655969;2414151;72,4;25/11/2021;17/03/2023
23024;100005;0000723171;M3889;96,072;04/11/2022;03/03/2023
23024;100006;0000676218;C4837;177,624;07/03/2022;17/01/2023
23024;100007;0000742567;2202239;8352;09/02/2023;23/03/2023
23024;100008;0000710843;A1673579;144,048;05/09/2022;27/03/2023
23024;100001;0000737133;AM1798471;57,608;12/01/2023;22/03/2023
23024;100009;0000669097;0002124409;7680;01/02/2022;17/03/2023
23024;100002;0000676155;K53821835;384,448;07/03/2022;15/03/2023
23024;100010;0000694159;0002066677;96,912;02/06/2022;22/11/2022
23024;100011;0000735476;0002219885;3200;03/01/2023;15/03/2023
23024;100012;0000746139;3009264;7872;27/02/2023;01/03/2023
23024;100004;0000655969;2414151;80;25/11/2021;17/03/2023
23024;100005;0000723171;M3889;12,04;04/11/2022;03/03/2023
23024;100006;0000676218;C4837;22,448;07/03/2022;17/01/2023
23024;100007;0000742567;2202239;2088,8;09/02/2023;23/03/2023
23024;100008;0000710843;A1673579;17,96;05/09/2022;22/03/2023
23024;100001;0000737133;AM1798471;7,16;12/01/2023;22/03/2023
23024;100009;0000669097;0002124409;960,184;01/02/2022;17/03/2023
23024;100002;0000676155;K53821835;47,968;07/03/2022;15/03/2023
23024;100010;0000694159;0002066677;12,096;02/06/2022;22/11/2022
23024;100011;0000735476;0002219885;400,312;03/01/2023;15/03/2023
23024;100012;0000746139;3009264;1972,8;27/02/2023;01/03/2023
23025;100001;0000737133;AM1798471;72,72;12/01/2023;22/03/2023
23025;100002;0000676155;K53821835;72,32;07/03/2022;15/03/2023
23025;100003;0000644272;0005070897;4800;04/10/2021;24/03/2023
23025;100004;0000655974;2414142;318,4;25/11/2021;23/03/2023
23025;100005;0000723171;M3889;96,184;04/11/2022;03/03/2023
23025;100006;0000676218;C4837;177,656;07/03/2022;17/01/2023
23025;100007;0000742567;2202239;8352;09/02/2023;23/03/2023
23025;100008;0000710843;A1673579;144;05/09/2022;27/03/2023
23025;100001;0000737133;AM1798471;57,616;12/01/2023;22/03/2023
23025;100009;0000669097;0002124409;7680;01/02/2022;17/03/2023
23025;100002;0000676155;K53821835;384,304;07/03/2022;15/03/2023
23025;100010;0000694159;0002066677;96,36;02/06/2022;22/11/2022
23025;100011;0000735476;0002219885;3200;03/01/2023;15/03/2023
23025;100012;0000746149;3009264;7839,8336;27/02/2023;24/03/2023
23025;100012;0000746139;3009264;32,1664;27/02/2023;01/03/2023
23025;100004;0000655969;2414151;80;25/11/2021;17/03/2023
23025;100005;0000723171;M3889;12,04;04/11/2022;03/03/2023
23025;100006;0000676218;C4837;22,448;07/03/2022;17/01/2023
23025;100007;0000742567;2202239;2088,8;09/02/2023;23/03/2023
23025;100008;0000710843;A1673579;17,96;05/09/2022;22/03/2023
23025;100001;0000737133;AM1798471;7,16;12/01/2023;22/03/2023
23025;100009;0000669097;0002124409;960,184;01/02/2022;17/03/2023
23025;100002;0000676155;K53821835;47,968;07/03/2022;15/03/2023
23025;100010;0000694159;0002066677;12,096;02/06/2022;22/11/2022
23025;100011;0000735476;0002219885;400,312;03/01/2023;15/03/2023
23025;100012;0000746139;3009264;1972,8;27/02/2023;01/03/2023
23026;100001;0000737133;AM1798471;72;12/01/2023;22/03/2023
23026;100002;0000676155;K53821835;72,36;07/03/2022;15/03/2023
23026;100003;0000644272;0005070897;4800;04/10/2021;24/03/2023
23026;100004;0000655974;2414142;320;25/11/2021;23/03/2023
23026;100005;0000723171;M3889;96;04/11/2022;03/03/2023
23026;100006;0000676218;C4837;177,6;07/03/2022;17/01/2023
23026;100007;0000742567;2202239;8352;09/02/2023;23/03/2023
23026;100008;0000710843;A1673579;144;05/09/2022;27/03/2023
23026;100001;0000737133;AM1798471;57,6;12/01/2023;22/03/2023
23026;100009;0000669097;0002124409;7222,096;01/02/2022;17/03/2023
23026;100009;0000719593;0002231404;457,904;17/10/2022;28/03/2023
23026;100002;0000676155;K53821835;383,2;07/03/2022;15/03/2023
23026;100010;0000694159;0002066677;96;02/06/2022;22/11/2022
23026;100011;0000737873;0002246451;2202,464;17/01/2023;27/03/2023
23026;100011;0000735476;0002219885;997,536;03/01/2023;15/03/2023
23026;100012;0000746149;3009264;7596,456;27/02/2023;24/03/2023
