LOTE;ID bioreactor;Fecha/hora inicio;Fecha/hora fin;Volumen de cultivo;Turbidez inicio cultivo;Turbidez final culttivo;Viabilidad final cultivo;;;
23019;13171;NA;NA;NA;NA;32,80;1,34E+08;;;
23020;13171;NA;NA;NA;NA;32,80;1,34E+08;;;
23021;14618;NA;NA;NA;NA;27,84;1,15E+08;;;
23022;14618;NA;NA;NA;NA;27,84;1,15E+08;;;
23023;14618;27/03/2023 7:22;28/03/2023 7:29;155,20;18,24;31,68;1,06E+08;;;
23024;14618;27/03/2023 7:22;28/03/2023 7:29;155,20;18,24;31,68;1,06E+08;;;
23025;13172;28/03/2023 7:42;29/03/2023 6:43;157,60;16,96;27,60;8,48E+07;;;
23026;13172;28/03/2023 7:42;29/03/2023 6:43;157,60;16,96;27,60;8,48E+07;;;
23027;13172;03/04/2023 13:30;04/04/2023 11:35;168,00;18,88;23,52;1,05E+08;;;
23028;13172;03/04/2023 13:30;04/04/2023 11:35;168,00;18,88;23,52;1,05E+08;;;
23029;13172;17/04/2023 8:10;18/04/2023 7:00;162,72;18,40;28,00;9,68E+07;;;
23030;13172;17/04/2023 8:10;18/04/2023 7:00;162,72;18,40;28,00;9,68E+07;;;
23031;14618;17/04/2023 8:30;18/04/2023 7:15;166,08;17,60;28,08;1,06E+08;;;
23032;14618;17/04/2023 8:30;18/04/2023 7:15;166,08;17,60;28,08;1,06E+08;;;
23033;13172;24/04/2023 13:30;25/04/2023 12:25;165,60;16,96;24,24;1,04E+08;;;
23034;13172;24/04/2023 13:30;25/04/2023 12:25;165,60;16,96;24,24;1,04E+08;;;
23035;14618;24/04/2023 7:30;25/04/2023 7:30;85,92;18,00;26,24;8,16E+07;;;
23036;13171;21/05/2023 7:50;22/05/2023 7:30;164,40;14,96;21,76;8,80E+07;;;
23037;13171;21/05/2023 7:50;22/05/2023 7:30;164,40;14,96;21,76;8,80E+07;;;
23038;14618;22/05/2023 7:50;23/05/2023 7:50;168,72;12,32;22,32;1,15E+08;;;
