;;;pH;;;Turbidez;;;Línea utilizada;;;;;;;;;;;
LOTE;Fecha/hora inicio;Fecha/hora fin;línea 1;línea 2;línea 3;línea 1;línea 2;línea 3;línea 1;línea 2;línea 3;;;;;;;;;
23023;26/03/2023 5:00;27/03/2023 7:21;5,496;5,504;5,52;28,32;27,92;32;1;1;0;;;;;;;;;
23024;26/03/2023 5:00;27/03/2023 7:21;5,496;5,504;5,52;28,32;27,92;32;1;1;0;;;;;;;;;
23025;17/03/2023 6:00;28/03/2023 7:42;5,48;5,52;5,52;26,56;27,52;26,4;1;1;0;;;;;;;;;
23026;17/03/2023 6:00;28/03/2023 7:42;5,48;5,52;5,52;26,56;27,52;26,4;1;1;0;;;;;;;;;
23027;02/04/2023 5:00;03/04/2023 13:30;5,384;5,44;5,4;33,84;30,56;32,48;1;0;1;;;;;;;;;
23028;02/04/2023 5:00;03/04/2023 13:30;5,384;5,44;5,4;33,84;30,56;32,48;1;0;1;;;;;;;;;
23029;15/04/2023 5:30;16/04/2023 6:30;5,52;5,52;NaN;30;30,32;NaN;1;1;0;;;;;;;;;
23030;15/04/2023 5:30;16/04/2023 6:30;5,52;5,52;NaN;30;30,32;NaN;1;1;0;;;;;;;;;
23031;15/04/2023 5:30;16/04/2023 6:30;5,52;5,512;NaN;32,08;32,96;NaN;1;1;0;;;;;;;;;
23032;15/04/2023 5:30;16/04/2023 6:30;5,52;5,512;NaN;32,08;32,96;NaN;1;1;0;;;;;;;;;
23033;23/04/2023 5:00;24/03/2023 13:30;5,448;5,456;5,392;28,08;28,24;29,44;1;0;1;;;;;;;;;
23034;23/04/2023 5:00;24/03/2023 13:30;5,448;5,456;5,392;28,08;28,24;29,44;1;0;1;;;;;;;;;
23035;23/04/2023 5:00;24/03/2023 7:30;5,52;5,52;NaN;25,68;26,56;NaN;1;0;0;;;;;;;;;
23036;20/05/2023 5:00;21/05/2023 7:50;5,384;5,464;5,528;35,44;32,96;25,76;1;1;0;;;;;;;;;
23037;20/05/2023 5:00;21/05/2023 7:50;5,384;5,464;5,528;35,44;32,96;25,76;1;1;0;;;;;;;;;
23038;21/05/2023 5:00;22/05/2023 7:50;5,624;5,56;5,552;36,4;25,28;24,4;0;1;1;;;;;;;;;
23039;21/05/2023 5:00;22/05/2023 7:50;5,624;5,56;5,552;36,4;25,28;24,4;0;1;1;;;;;;;;;
23040;28/05/2023 5:00;29/05/2023 7:30;5,512;5,432;5,48;31,68;33,68;25,04;0;1;1;;;;;;;;;
23041;28/05/2023 5:00;29/05/2023 7:30;5,512;5,432;5,48;31,68;33,68;25,04;0;1;1;;;;;;;;;
23042;29/05/2023 5:00;30/05/2023 7:30;5,512;5,472;NaN;24,8;27,12;NaN;0;1;0;;;;;;;;;
23044;04/06/2023 5:00;05/06/2023 8:00;5,488;5,552;NaN;30,48;26,8;NaN;1;1;0;;;;;;;;;
23043;10/06/2023 5:00;11/06/2023 7:35;5,512;5,44;6,112;31,44;31,6;19,6;1;1;0;;;;;;;;;
23045;10/06/2023 5:00;11/06/2023 7:35;5,512;5,44;6,112;31,44;31,6;19,6;1;1;0;;;;;;;;;
23046;11/06/2023 5:00;12/06/2023 9:00;5,584;5,568;6,048;28,64;26,4;17,36;1;1;0;;;;;;;;;
23047;11/06/2023 5:00;12/06/2023 9:00;5,584;5,568;6,048;28,64;26,4;17,36;1;1;0;;;;;;;;;
23048;18/06/2023 5:00;19/06/2023 7:15;5,624;5,512;5,52;29,52;29,2;28,72;0;1;1;;;;;;;;;
23049;18/06/2023 5:00;19/06/2023 7:15;5,624;5,512;5,52;29,52;29,2;28,72;0;1;1;;;;;;;;;
23050;19/06/2023 5:00;20/06/2023 7:30;5,528;5,488;5,408;25,92;25,76;26,96;1;0;1;;;;;;;;;
23051;19/06/2023 5:00;20/06/2023 7:30;5,528;5,488;5,408;25,92;25,76;26,96;1;0;1;;;;;;;;;
23052;24/06/2023 5:00;25/06/2023 7:30;5,464;5,576;5,456;49,2;26,88;26,96;1;0;1;;;;;;;;;
23053;24/06/2023 5:00;25/06/2023 7:30;5,464;5,576;5,456;49,2;26,88;26,96;1;0;1;;;;;;;;;
23054;25/06/2023 5:00;26/06/2023 7:45;5,52;5,496;5,512;27,28;28,96;28,72;1;1;0;;;;;;;;;
23055;25/06/2023 5:00;26/06/2023 7:45;5,52;5,496;5,512;27,28;28,96;28,72;1;1;0;;;;;;;;;
23056;01/07/2023 5:00;02/07/2023 8:35;5,568;5,48;5,544;40,64;30,32;31,76;0;1;1;;;;;;;;;
23957;01/07/2023 5:00;02/07/2023 8:35;5,568;5,48;5,544;40,64;30,32;31,76;0;1;1;;;;;;;;;
23060;02/07/2023 5:00;03/07/2023 7:30;5,536;5,512;5,528;29,68;30,8;31,52;1;1;0;;;;;;;;;
23061;02/07/2023 5:00;03/07/2023 7:30;5,536;5,512;5,528;29,68;30,8;31,52;1;1;0;;;;;;;;;
23062;08/07/2023 5:00;09/07/2023 7:45;5,504;5,496;5,456;30,56;30,24;41,28;1;1;0;;;;;;;;;
23063;08/07/2023 5:00;09/07/2023 7:45;5,504;5,496;5,456;30,56;30,24;41,28;1;1;0;;;;;;;;;
