LOTE;Orden en el encadenado;LOTE parental;ID Bioreactor;Fecha/hora inicio;Fecha/hora fin;Volumen de inóculo utilizado;Turbidez inicio cultivo;Turbidez fin cultivo;Viabilidad final cultivo;ID Centrífuga;Centrifugación 1 turbidez;Centrifugación 2 turbidez;Producto 1;Producto 2;;;
23019;1;NA;14615;2023-03-21 07:30:00;2023-03-23 06:30:00;82,4;17,3;91,2;1,84E+08;17825;NA;NA;1747,9;6,0;;;
23020;1;NA;14616;2023-03-21 07:30:00;2023-03-23 06:30:00;80,4;18,8;91,2;1,82E+08;14246;NA;NA;1676,2;6,6;;;
23021;1;NA;13170;2023-03-22 07:30:00;2023-03-24 06:30:00;66,4;16,2;86,4;2,48E+08;17825;NA;NA;1928,5;8,1;;;
23022;1;NA;14614;2023-03-22 07:30:00;2023-03-24 06:30:00;85,6;18,5;83,2;2,30E+08;12912;NA;NA;1782,8;5,9;;;
23023;1;NA;14615;2023-03-28 07:27:00;2023-03-30 10:00:00;77,6;17,1;74,4;1,33E+08;17825;26,6;20,9;1861,8;3,0;;;
23024;1;NA;14616;2023-03-28 07:24:00;2023-03-30 07:23:00;76,0;16,6;80,8;1,99E+08;14246;24,6;10,4;2161,1;2,8;;;
23025;1;NA;13170;2023-03-29 07:09:00;2023-03-31 07:29:00;77,2;17,8;87,2;1,99E+08;17825;30,6;29,4;2044,7;4,5;;;
23026;1;NA;14614;2023-03-29 07:29:00;2023-03-31 07:38:00;78,8;18,2;81,2;2,06E+08;14246;26,5;11,6;2263,2;3,4;;;
23027;1;NA;14615;2023-04-04 10:32:00;2023-04-06 12:30:00;83,2;16,9;68,1;1,95E+08;14246;26,2;9,8;1407,7;4,1;;;
23028;1;NA;14616;2023-04-04 10:34:00;2023-04-06 12:32:00;83,6;18,6;67,2;1,76E+08;17825;27,3;12,2;1373,2;4,7;;;
23029;1;NA;13170;2023-04-18 07:30:00;2023-04-20 07:30:00;80,6;17,0;85,6;2,62E+08;6379;27,8;13,4;2063,7;6,7;;;
23030;1;NA;14614;2023-04-18 07:30:00;2023-04-20 07:30:00;81,4;19,4;76,0;1,79E+08;12912;28,7;12,6;2019,7;5,8;;;
23031;1;NA;14615;2023-04-18 07:30:00;2023-04-20 07:30:00;82,2;18,6;84,0;9,76E+07;14246;29,5;NA;1816,1;6,2;;;
23032;1;NA;14616;2023-04-18 07:30:00;2023-04-20 08:40:00;83,0;18,9;76,0;1,96E+08;17825;29,4;NA;1865,4;6,6;;;
23033;1;NA;14616;2023-04-25 12:30:00;2023-04-27 13:30:00;82,4;17,8;72,5;2,27E+08;17825;29,1;16,0;1628,9;5,5;;;
23034;1;NA;14615;2023-04-25 12:30:00;2023-04-27 13:30:00;83,2;16,3;69,1;1,97E+08;12912;24,0;16,0;1592,0;5,5;;;
23035;1;NA;14614;2023-04-25 07:45:00;2023-04-27 10:30:00;85,9;17,8;59,5;2,07E+08;14246;25,2;15,1;1499,8;4,6;;;
23036;1;NA;13170;2023-05-22 07:30:00;2023-05-24 09:35:00;82,0;16,4;65,9;1,42E+08;14246;25,8;12,9;1403,4;4,2;;;
23038;1;NA;14615;2023-05-23 08:00:00;2023-05-25 10:45:00;83,6;15,3;67,9;1,46E+08;14246;23,0;13,5;1674,6;4,4;;;
23039;1;NA;14616;2023-05-23 08:00:00;2023-05-25 10:15:00;80,4;17,8;67,2;1,22E+08;17825;28,5;13,8;1487,4;3,6;;;
23040;1;NA;13169;2023-05-30 12:00:00;2023-06-01 12:00:00;77,6;15,9;83,2;1,90E+08;14246;27,4;NA;2129,9;8,2;;;
23041;1;NA;14616;2023-05-30 07:20:00;2023-06-01 07:20:00;82,8;15,6;76,8;2,60E+08;17825;23,3;21,4;1873,7;7,3;;;
23042;1;NA;14614;2023-05-31 06:55:00;2023-06-02 09:20:00;79,2;15,3;69,0;2,10E+08;17825;24,4;18,3;1609,8;6,4;;;
23044;1;NA;14616;2023-06-06 09:20:00;2023-06-08 13:50:00;81,2;14,9;56,5;3,70E+08;17825;23,2;11,6;1240,7;5,0;;;
